lat,lon,value
46.0,130.0,2.9300286769866943
38.0,140.0,4.440852642059326
46.0,135.0,4.975335121154785
42.0,265.0,3.282423973083496
42.0,130.0,4.081157684326172
38.0,265.0,3.0087168216705322
46.0,290.0,4.466475486755371
46.0,275.0,4.356183052062988
-46.0,285.0,2.8565518856048584
46.0,285.0,5.125239372253418
46.0,265.0,3.9157562255859375
34.0,270.0,3.6032960414886475
42.0,285.0,5.411925315856934
42.0,275.0,3.2709293365478516
42.0,280.0,4.328189849853516
46.0,270.0,5.102586269378662
38.0,280.0,5.352634429931641
38.0,275.0,3.227389335632324
38.0,270.0,3.0770115852355957
42.0,270.0,3.0786874294281006
