lat,lon,value
46.0,130.0,0.8431193232536316
38.0,140.0,2.079749822616577
46.0,135.0,2.0793821811676025
42.0,265.0,0.9783205986022949
42.0,130.0,1.792404055595398
38.0,265.0,1.4864782094955444
46.0,290.0,2.1100733280181885
46.0,275.0,1.9436733722686768
-46.0,285.0,1.8882114887237549
46.0,285.0,2.1840875148773193
46.0,265.0,1.4938164949417114
34.0,270.0,2.079855442047119
42.0,285.0,2.384538412094116
42.0,275.0,1.3836268186569214
42.0,280.0,1.997443675994873
46.0,270.0,2.090952157974243
38.0,280.0,2.604226589202881
38.0,275.0,1.7493103742599487
38.0,270.0,1.3675206899642944
42.0,270.0,1.0641895532608032
