lat,lon,value
46.0,130.0,2.1476216316223145
38.0,140.0,4.0226054191589355
46.0,135.0,4.55759859085083
42.0,265.0,2.479980707168579
42.0,130.0,3.726081132888794
38.0,265.0,2.742464780807495
46.0,290.0,4.154390335083008
46.0,275.0,4.108600616455078
-46.0,285.0,1.4009578227996826
46.0,285.0,4.809929370880127
46.0,265.0,3.4795496463775635
34.0,270.0,3.257573366165161
42.0,285.0,4.942624092102051
42.0,275.0,2.897573471069336
42.0,280.0,4.065229892730713
46.0,270.0,4.68243932723999
38.0,280.0,4.955619812011719
38.0,275.0,2.8688504695892334
38.0,270.0,2.520817518234253
42.0,270.0,2.4643518924713135
