lat,lon,value
46.0,130.0,1.116076111793518
38.0,140.0,3.728017568588257
46.0,135.0,3.1095993518829346
42.0,265.0,2.2274649143218994
42.0,130.0,2.9456355571746826
38.0,265.0,2.881742000579834
46.0,290.0,3.79040789604187
46.0,275.0,3.0338592529296875
-46.0,285.0,3.8432393074035645
46.0,285.0,3.391068696975708
46.0,265.0,1.9666855335235596
34.0,270.0,3.4236934185028076
42.0,285.0,3.489940643310547
42.0,275.0,2.6302711963653564
42.0,280.0,3.2864599227905273
46.0,270.0,3.1041061878204346
38.0,280.0,4.068384647369385
38.0,275.0,3.753242015838623
38.0,270.0,3.183454990386963
42.0,270.0,2.269246816635132
