lat,lon,value
46.0,130.0,4.770316123962402
38.0,140.0,8.962872505187988
46.0,135.0,8.81801700592041
42.0,265.0,8.306700706481934
42.0,130.0,8.584702491760254
38.0,265.0,6.810296535491943
46.0,290.0,9.835844993591309
46.0,275.0,7.960552215576172
-46.0,285.0,1.8755817413330078
46.0,285.0,9.489740371704102
46.0,265.0,6.356877326965332
34.0,270.0,6.40324592590332
42.0,285.0,9.561113357543945
42.0,275.0,7.608760356903076
42.0,280.0,8.150468826293945
46.0,270.0,8.766788482666016
38.0,280.0,9.642656326293945
38.0,275.0,7.983990669250488
38.0,270.0,7.548720836639404
42.0,270.0,7.2125563621521
