lat,lon,value
46.0,130.0,1.745985507965088
38.0,140.0,3.8806822299957275
46.0,135.0,4.41721248626709
42.0,265.0,1.7548489570617676
42.0,130.0,3.983968496322632
38.0,265.0,2.091238260269165
46.0,290.0,4.4022345542907715
46.0,275.0,4.009058952331543
-46.0,285.0,2.209751605987549
46.0,285.0,4.221654891967773
46.0,265.0,3.0405044555664062
34.0,270.0,3.6844303607940674
42.0,285.0,4.307249069213867
42.0,275.0,2.3025095462799072
42.0,280.0,2.190300941467285
46.0,270.0,4.113615989685059
38.0,280.0,4.775669574737549
38.0,275.0,3.8027987480163574
38.0,270.0,2.27889084815979
42.0,270.0,1.9589585065841675
