lat,lon,value
46.0,130.0,7.310858775313976
38.0,140.0,7.371108661568787
46.0,135.0,7.083691654300619
42.0,265.0,8.108769684789086
42.0,130.0,7.283004817563271
38.0,265.0,7.477882966700158
46.0,290.0,7.521421334978265
46.0,275.0,8.592107551534745
-46.0,285.0,
46.0,285.0,7.733049248591371
46.0,265.0,7.516611475462944
34.0,270.0,7.3678548141313165
42.0,285.0,8.485004541047338
42.0,275.0,7.212168106651394
42.0,280.0,6.063168509666939
46.0,270.0,8.814002514711678
38.0,280.0,8.087062325722854
38.0,275.0,7.605174567464161
38.0,270.0,7.663736789790781
42.0,270.0,8.103560854157926
