lat,lon,value
46.0,130.0,2.506741202005123
38.0,140.0,3.559714958517171
46.0,135.0,2.4235085283030577
42.0,265.0,2.6802497198044315
42.0,130.0,2.5777320797606915
38.0,265.0,3.8196834157116637
46.0,290.0,2.772673645640583
46.0,275.0,2.623996021262547
-46.0,285.0,
46.0,285.0,2.8433543251422417
46.0,265.0,2.85025012258578
34.0,270.0,4.497084677156549
42.0,285.0,3.487454041386019
42.0,275.0,3.272203185113822
42.0,280.0,2.620100156709663
46.0,270.0,2.935922181608612
38.0,280.0,3.760924790830082
38.0,275.0,4.028964078132781
38.0,270.0,3.7981140094482613
42.0,270.0,3.368636818514554
