lat,lon,value
46.0,130.0,6.455812668588255
38.0,140.0,6.892604982020221
46.0,135.0,6.471923709225045
42.0,265.0,6.889262298078961
42.0,130.0,6.352605150804255
38.0,265.0,6.516210332104325
46.0,290.0,6.942191527239644
46.0,275.0,6.959269051883454
-46.0,285.0,
46.0,285.0,7.010078993827019
46.0,265.0,7.098122884944497
34.0,270.0,6.806902295140366
42.0,285.0,7.578287605834248
42.0,275.0,6.915461549994007
42.0,280.0,5.533423331887736
46.0,270.0,7.603260271499215
38.0,280.0,7.434702246136012
38.0,275.0,7.079978190541066
38.0,270.0,6.842697897407061
42.0,270.0,7.38363549799979
