lat,lon,value
-2.0,115.0,5.43143367767334
6.0,305.0,
-2.0,135.0,2.132758617401123
-10.0,300.0,6.102648735046387
-6.0,285.0,5.879329681396484
2.0,295.0,6.158268451690674
2.0,305.0,5.917299270629883
-2.0,300.0,5.791656970977783
-2.0,140.0,
2.0,115.0,5.661110877990723
-10.0,290.0,6.019721508026123
-6.0,305.0,5.894927978515625
2.0,15.0,5.337643623352051
2.0,290.0,5.1655659675598145
-2.0,285.0,5.488821506500244
-2.0,290.0,5.5448150634765625
-2.0,295.0,5.590071201324463
-6.0,300.0,6.213931560516357
-6.0,290.0,6.042934417724609
-6.0,295.0,6.091013431549072
