lat,lon,value
-2.0,115.0,4.386978626251221
6.0,305.0,
-2.0,135.0,1.5252872705459595
-10.0,300.0,4.728033542633057
-6.0,285.0,4.323013782501221
2.0,295.0,5.425421237945557
2.0,305.0,4.440629482269287
-2.0,300.0,4.435168266296387
-2.0,140.0,
2.0,115.0,4.733682155609131
-10.0,290.0,4.721531867980957
-6.0,305.0,4.428788185119629
2.0,15.0,4.277909755706787
2.0,290.0,4.178240776062012
-2.0,285.0,4.096482753753662
-2.0,290.0,4.35066556930542
-2.0,295.0,4.515256881713867
-6.0,300.0,4.711301326751709
-6.0,290.0,4.4602813720703125
-6.0,295.0,4.4839277267456055
