lat,lon,value
-2.0,115.0,4.912873268127441
6.0,305.0,
-2.0,135.0,1.6103447675704956
-10.0,300.0,5.580655097961426
-6.0,285.0,4.786461353302002
2.0,295.0,5.359144687652588
2.0,305.0,4.865071773529053
-2.0,300.0,5.163957595825195
-2.0,140.0,
2.0,115.0,5.216854095458984
-10.0,290.0,5.431703567504883
-6.0,305.0,5.542601108551025
2.0,15.0,4.203017711639404
2.0,290.0,3.763840913772583
-2.0,285.0,4.182854652404785
-2.0,290.0,4.304198741912842
-2.0,295.0,4.589926719665527
-6.0,300.0,5.747922897338867
-6.0,290.0,5.212917327880859
-6.0,295.0,5.541844367980957
