lat,lon,value
-2.0,115.0,9.017026901245117
6.0,305.0,
-2.0,135.0,
-10.0,300.0,8.386948585510254
-6.0,285.0,9.037696838378906
2.0,295.0,9.41576862335205
2.0,305.0,9.94825267791748
-2.0,300.0,7.84015417098999
-2.0,140.0,
2.0,115.0,8.279268264770508
-10.0,290.0,9.460186958312988
-6.0,305.0,10.002209663391113
2.0,15.0,9.176628112792969
2.0,290.0,8.959935188293457
-2.0,285.0,8.47669792175293
-2.0,290.0,8.272811889648438
-2.0,295.0,8.78014087677002
-6.0,300.0,9.29624080657959
-6.0,290.0,9.502179145812988
-6.0,295.0,9.358985900878906
