lat,lon,value
-2.0,115.0,8.493803977966309
6.0,305.0,
-2.0,135.0,
-10.0,300.0,7.176183223724365
-6.0,285.0,8.370461463928223
2.0,295.0,8.98309326171875
2.0,305.0,9.14563274383545
-2.0,300.0,7.440572261810303
-2.0,140.0,
2.0,115.0,7.915823936462402
-10.0,290.0,8.252511024475098
-6.0,305.0,9.044836044311523
2.0,15.0,8.112275123596191
2.0,290.0,8.561698913574219
-2.0,285.0,7.922421455383301
-2.0,290.0,7.703235626220703
-2.0,295.0,8.233777046203613
-6.0,300.0,8.3812837600708
-6.0,290.0,8.726418495178223
-6.0,295.0,8.473206520080566
