lat,lon,value
-2.0,115.0,8.159064292907715
6.0,305.0,
-2.0,135.0,
-10.0,300.0,5.617799758911133
-6.0,285.0,7.609897613525391
2.0,295.0,8.69832706451416
2.0,305.0,9.399880409240723
-2.0,300.0,7.372633457183838
-2.0,140.0,
2.0,115.0,7.854020118713379
-10.0,290.0,6.638574123382568
-6.0,305.0,8.356560707092285
2.0,15.0,8.149698257446289
2.0,290.0,8.299651145935059
-2.0,285.0,7.410736083984375
-2.0,290.0,7.252823352813721
-2.0,295.0,7.990180015563965
-6.0,300.0,7.665282726287842
-6.0,290.0,8.104809761047363
-6.0,295.0,7.858506202697754
