lat,lon,value
-2.0,115.0,4.138060092926025
6.0,305.0,
-2.0,135.0,
-10.0,300.0,4.778162002563477
-6.0,285.0,4.337854385375977
2.0,295.0,4.568421363830566
2.0,305.0,4.069590091705322
-2.0,300.0,3.364417552947998
-2.0,140.0,
2.0,115.0,4.192686080932617
-10.0,290.0,4.941659927368164
-6.0,305.0,4.632173538208008
2.0,15.0,4.727139949798584
2.0,290.0,4.548981666564941
-2.0,285.0,4.377906799316406
-2.0,290.0,4.341655254364014
-2.0,295.0,4.584141731262207
-6.0,300.0,4.427916526794434
-6.0,290.0,4.674981117248535
-6.0,295.0,4.514706134796143
