lat,lon,value
-2.0,115.0,4.3839263916015625
6.0,305.0,
-2.0,135.0,
-10.0,300.0,5.192712783813477
-6.0,285.0,4.406976222991943
2.0,295.0,4.619649410247803
2.0,305.0,4.082891464233398
-2.0,300.0,3.3348917961120605
-2.0,140.0,
2.0,115.0,4.282217502593994
-10.0,290.0,4.879284381866455
-6.0,305.0,4.837290287017822
2.0,15.0,5.096386909484863
2.0,290.0,4.31754732131958
-2.0,285.0,4.366098880767822
-2.0,290.0,4.329284191131592
-2.0,295.0,4.566169261932373
-6.0,300.0,4.733660697937012
-6.0,290.0,4.69188117980957
-6.0,295.0,4.634759902954102
