lat,lon,value
-2.0,115.0,7.730506253395674
6.0,305.0,
-2.0,135.0,
-10.0,300.0,7.955699818710236
-6.0,285.0,7.865127349509921
2.0,295.0,7.638391650380222
2.0,305.0,7.586807709041604
-2.0,300.0,7.667968024086499
-2.0,140.0,
2.0,115.0,7.55405680424298
-10.0,290.0,8.168960064151518
-6.0,305.0,7.754652305000342
2.0,15.0,7.534516237825975
2.0,290.0,7.761600625140043
-2.0,285.0,7.9116807153491395
-2.0,290.0,7.82518859713689
-2.0,295.0,7.678800412930556
-6.0,300.0,7.722612967414777
-6.0,290.0,8.04200721701175
-6.0,295.0,7.740355324976731
