lat,lon,value
-2.0,115.0,6.98226088563387
6.0,305.0,
-2.0,135.0,
-10.0,300.0,6.957137987466548
-6.0,285.0,6.902756598482791
2.0,295.0,7.0904045946566905
2.0,305.0,6.3273960550986565
-2.0,300.0,6.7001525947348535
-2.0,140.0,
2.0,115.0,6.792185532902941
-10.0,290.0,7.299938675511066
-6.0,305.0,6.88352381610237
2.0,15.0,6.4242411260672085
2.0,290.0,7.09206440263188
-2.0,285.0,7.146803562828895
-2.0,290.0,7.0677770144613055
-2.0,295.0,7.039788957260173
-6.0,300.0,6.61504519272426
-6.0,290.0,6.973166274672854
-6.0,295.0,6.7074637056890305
