lat,lon,value
-2.0,115.0,6.791241541020817
6.0,305.0,
-2.0,135.0,
-10.0,300.0,6.28070791869229
-6.0,285.0,6.257019126749842
2.0,295.0,7.044283834792595
2.0,305.0,6.540436744002676
-2.0,300.0,6.411385464496669
-2.0,140.0,
2.0,115.0,6.743060276041649
-10.0,290.0,6.6917639840326855
-6.0,305.0,6.613594285922742
2.0,15.0,6.419802761082848
2.0,290.0,6.551511323639463
-2.0,285.0,6.44090768307144
-2.0,290.0,6.413735902323022
-2.0,295.0,6.531277465371517
-6.0,300.0,5.962780611156113
-6.0,290.0,6.384988852193418
-6.0,295.0,5.976953604062033
