lat,lon,value
54.0,80.0,2.3118293285369873
54.0,50.0,2.522238254547119
46.0,5.0,2.8625450134277344
50.0,75.0,1.0249841213226318
50.0,70.0,0.6125478744506836
50.0,115.0,1.1817106008529663
46.0,115.0,1.0114623308181763
46.0,120.0,2.3337485790252686
54.0,10.0,2.2503466606140137
50.0,5.0,3.111078977584839
50.0,255.0,1.1280131340026855
38.0,125.0,2.26037859916687
54.0,75.0,1.368247151374817
54.0,65.0,1.843550443649292
54.0,70.0,1.4284642934799194
50.0,0.0,
54.0,350.0,1.7998356819152832
46.0,0.0,1.8117656707763672
50.0,250.0,0.6160759925842285
34.0,125.0,
