lat,lon,value
54.0,80.0,3.6855969429016113
54.0,50.0,4.675027847290039
46.0,5.0,7.188075542449951
50.0,75.0,1.4155464172363281
50.0,70.0,1.3495914936065674
50.0,115.0,1.8852063417434692
46.0,115.0,1.873255729675293
46.0,120.0,4.377662181854248
54.0,10.0,8.700801849365234
50.0,5.0,8.671704292297363
50.0,255.0,3.059019088745117
38.0,125.0,8.931306838989258
54.0,75.0,2.116037607192993
54.0,65.0,2.6550443172454834
54.0,70.0,2.4721553325653076
50.0,0.0,
54.0,350.0,4.907474994659424
46.0,0.0,5.713034152984619
50.0,250.0,2.0387864112854004
34.0,125.0,
