lat,lon,value
54.0,80.0,6.620522251913702
54.0,50.0,6.4646416180645545
46.0,5.0,7.529191753674468
50.0,75.0,3.1543215909333324
50.0,70.0,3.100613760854207
50.0,115.0,4.524401388428676
46.0,115.0,4.054867721471608
46.0,120.0,6.991780241201642
54.0,10.0,
50.0,5.0,6.999188124646139
50.0,255.0,7.335809932075717
38.0,125.0,7.53460653711765
54.0,75.0,5.519268587553564
54.0,65.0,5.2375963948237985
54.0,70.0,5.764535614975745
50.0,0.0,
54.0,350.0,
46.0,0.0,7.2079306723384144
50.0,250.0,5.7914405726155405
34.0,125.0,
