lat,lon,value
54.0,80.0,2.1348428005226943
54.0,50.0,2.2607626252745585
46.0,5.0,3.5276957304914083
50.0,75.0,1.1214901094146024
50.0,70.0,1.0368084282718273
50.0,115.0,1.2217562305924143
46.0,115.0,1.0777077649629614
46.0,120.0,2.058741596618754
54.0,10.0,
50.0,5.0,3.2173561491877285
50.0,255.0,2.0394983846308254
38.0,125.0,2.7582760378466626
54.0,75.0,1.7734046123044893
54.0,65.0,1.7832014969503927
54.0,70.0,1.8253934505399025
50.0,0.0,
54.0,350.0,
46.0,0.0,3.699423423833025
50.0,250.0,1.479031230222083
34.0,125.0,
