lat,lon,value
54.0,80.0,5.916028223715773
54.0,50.0,5.478120234772279
46.0,5.0,6.973446654014306
50.0,75.0,2.4327601041533624
50.0,70.0,2.2252276160554363
50.0,115.0,3.319129033504412
46.0,115.0,2.952244188853601
46.0,120.0,6.3796140510395
54.0,10.0,
50.0,5.0,6.389351995172804
50.0,255.0,5.991947836971142
38.0,125.0,6.0563133293410525
54.0,75.0,4.591431902033038
54.0,65.0,4.671846915822717
54.0,70.0,4.945445760204979
50.0,0.0,
54.0,350.0,
46.0,0.0,6.4496402176218774
50.0,250.0,4.149312456758193
34.0,125.0,
