lat,lon,value
10.0,10.0,5.888058185577393
-18.0,30.0,6.5549702644348145
-10.0,320.0,3.396510362625122
14.0,20.0,2.817502737045288
-6.0,325.0,
2.0,45.0,3.4481093883514404
-14.0,125.0,
10.0,0.0,6.957420825958252
-22.0,30.0,3.7644100189208984
14.0,345.0,6.7000412940979
-2.0,40.0,3.705878734588623
-2.0,45.0,
10.0,15.0,5.988323211669922
-22.0,25.0,2.8738601207733154
-18.0,25.0,7.104317665100098
10.0,25.0,7.084100723266602
14.0,350.0,7.0865631103515625
10.0,20.0,7.179041862487793
14.0,355.0,4.173449993133545
-18.0,20.0,5.8292412757873535
