lat,lon,value
10.0,10.0,2.6910927295684814
-18.0,30.0,2.547487258911133
-10.0,320.0,1.4127466678619385
14.0,20.0,0.5611860752105713
-6.0,325.0,
2.0,45.0,1.758996605873108
-14.0,125.0,
10.0,0.0,3.050459623336792
-22.0,30.0,1.281950831413269
14.0,345.0,2.4312894344329834
-2.0,40.0,2.105865716934204
-2.0,45.0,
10.0,15.0,2.4751431941986084
-22.0,25.0,0.8586838841438293
-18.0,25.0,2.71036958694458
10.0,25.0,2.525442600250244
14.0,350.0,2.2922582626342773
10.0,20.0,2.8534414768218994
14.0,355.0,1.416571855545044
-18.0,20.0,2.2960267066955566
