lat,lon,value
10.0,10.0,0.8876311779022217
-18.0,30.0,1.0862916707992554
-10.0,320.0,0.9159022569656372
14.0,20.0,0.16009773313999176
-6.0,325.0,
2.0,45.0,0.5701811909675598
-14.0,125.0,
10.0,0.0,0.9671676158905029
-22.0,30.0,1.171281337738037
14.0,345.0,0.4940008521080017
-2.0,40.0,1.0873379707336426
-2.0,45.0,
10.0,15.0,0.7536090016365051
-22.0,25.0,0.5079718828201294
-18.0,25.0,1.236491084098816
10.0,25.0,0.9854098558425903
14.0,350.0,0.6340906620025635
10.0,20.0,1.161365032196045
14.0,355.0,0.41629838943481445
-18.0,20.0,0.7770583629608154
