lat,lon,value
10.0,10.0,7.292271107635975
-18.0,30.0,6.5194752159009015
-10.0,320.0,5.183497908061735
14.0,20.0,3.556724799858666
-6.0,325.0,
2.0,45.0,4.057689419046011
-14.0,125.0,
10.0,0.0,7.65543006197185
-22.0,30.0,6.41399741604131
14.0,345.0,6.330566614299364
-2.0,40.0,4.478865167829953
-2.0,45.0,
10.0,15.0,7.456101359228313
-22.0,25.0,4.65514141124177
-18.0,25.0,6.791998427907139
10.0,25.0,7.288797009802967
14.0,350.0,6.869654891093979
10.0,20.0,7.599303824824336
14.0,355.0,5.536711262093998
-18.0,20.0,6.311837043252876
