lat,lon,value
10.0,10.0,2.7218949951616023
-18.0,30.0,3.201080808631648
-10.0,320.0,2.5305963100185207
14.0,20.0,0.7344470087189462
-6.0,325.0,
2.0,45.0,1.8415973711617755
-14.0,125.0,
10.0,0.0,3.1949416745043693
-22.0,30.0,2.5448788790757635
14.0,345.0,1.836406698191767
-2.0,40.0,2.1013685027184525
-2.0,45.0,
10.0,15.0,2.7670440149115447
-22.0,25.0,1.8612905574577112
-18.0,25.0,3.384055528212706
10.0,25.0,2.3667410760212197
14.0,350.0,1.8263102654351033
10.0,20.0,3.000761285510789
14.0,355.0,1.5417282285190115
-18.0,20.0,2.9318580526830527
