lat,lon,value
10.0,10.0,4.952946935889389
-18.0,30.0,1.1516243878237031
-10.0,320.0,1.6627580352052262
14.0,20.0,1.4588375468668702
-6.0,325.0,
2.0,45.0,1.4665878177128744
-14.0,125.0,
10.0,0.0,5.858551703388539
-22.0,30.0,0.9087787496525374
14.0,345.0,2.8570702275730233
-2.0,40.0,1.5903537955662772
-2.0,45.0,
10.0,15.0,5.0174518639585415
-22.0,25.0,0.7922506389028121
-18.0,25.0,1.2578869343776218
10.0,25.0,4.512385377592501
14.0,350.0,3.4413419279789754
10.0,20.0,5.361786254129737
14.0,355.0,2.205332179163948
-18.0,20.0,1.0221002539006474
