lat,lon,value
58.0,245.0,1.4438916444778442
38.0,235.0,
58.0,95.0,1.54931640625
54.0,265.0,1.07700514793396
62.0,45.0,1.36924409866333
50.0,290.0,1.2639846801757812
50.0,240.0,1.6445482969284058
62.0,30.0,1.491263508796692
62.0,60.0,1.5222373008728027
62.0,50.0,1.4092872142791748
54.0,260.0,1.1154961585998535
58.0,100.0,1.5816092491149902
62.0,55.0,1.2637492418289185
46.0,235.0,
58.0,240.0,1.597549557685852
54.0,230.0,1.2455151081085205
54.0,235.0,1.5917733907699585
50.0,270.0,1.347906470298767
42.0,235.0,
50.0,230.0,
