lat,lon,value
58.0,245.0,6.251242637634277
38.0,235.0,
58.0,95.0,6.8473639488220215
54.0,265.0,5.015866756439209
62.0,45.0,7.968616485595703
50.0,290.0,5.31568717956543
50.0,240.0,6.181127548217773
62.0,30.0,7.2027788162231445
62.0,60.0,7.525302410125732
62.0,50.0,7.662351608276367
54.0,260.0,4.755838394165039
58.0,100.0,7.123234272003174
62.0,55.0,7.141175746917725
46.0,235.0,
58.0,240.0,6.709272384643555
54.0,230.0,5.509058952331543
54.0,235.0,5.993222236633301
50.0,270.0,5.0413618087768555
42.0,235.0,
50.0,230.0,
