lat,lon,value
58.0,245.0,1.6134743690490723
38.0,235.0,
58.0,95.0,1.958580493927002
54.0,265.0,1.552699089050293
62.0,45.0,2.433462619781494
50.0,290.0,1.6204259395599365
50.0,240.0,2.3153889179229736
62.0,30.0,2.223069906234741
62.0,60.0,2.249662399291992
62.0,50.0,2.227743625640869
54.0,260.0,1.256711721420288
58.0,100.0,2.1137855052948
62.0,55.0,2.0201406478881836
46.0,235.0,
58.0,240.0,1.9398605823516846
54.0,230.0,1.8721250295639038
54.0,235.0,2.0765347480773926
50.0,270.0,1.576133131980896
42.0,235.0,
50.0,230.0,
