lat,lon,value
58.0,245.0,5.484391212463379
38.0,235.0,
58.0,95.0,6.008049011230469
54.0,265.0,4.432434558868408
62.0,45.0,6.972605228424072
50.0,290.0,4.693812847137451
50.0,240.0,5.552384853363037
62.0,30.0,6.298194885253906
62.0,60.0,6.577330112457275
62.0,50.0,6.659801959991455
54.0,260.0,4.042884826660156
58.0,100.0,6.317436218261719
62.0,55.0,6.077665328979492
46.0,235.0,
58.0,240.0,5.951986312866211
54.0,230.0,4.854957580566406
54.0,235.0,5.339766025543213
50.0,270.0,4.491113185882568
42.0,235.0,
50.0,230.0,
