lat,lon,value
58.0,245.0,3.0137476921081543
38.0,235.0,
58.0,95.0,2.6538305282592773
54.0,265.0,1.9672865867614746
62.0,45.0,2.7468316555023193
50.0,290.0,2.0422544479370117
50.0,240.0,2.872586488723755
62.0,30.0,2.6949081420898438
62.0,60.0,2.866502523422241
62.0,50.0,2.401923656463623
54.0,260.0,2.334765911102295
58.0,100.0,2.7435109615325928
62.0,55.0,2.3255903720855713
46.0,235.0,
58.0,240.0,2.9294939041137695
54.0,230.0,1.8743048906326294
54.0,235.0,2.2470576763153076
50.0,270.0,2.214824914932251
42.0,235.0,
50.0,230.0,
