lat,lon,value
58.0,245.0,4.1228156089782715
38.0,235.0,
58.0,95.0,3.2274534702301025
54.0,265.0,2.3255059719085693
62.0,45.0,3.3337759971618652
50.0,290.0,2.5032403469085693
50.0,240.0,3.4120826721191406
62.0,30.0,3.3317360877990723
62.0,60.0,3.3874289989471436
62.0,50.0,3.1378250122070312
54.0,260.0,2.8636980056762695
58.0,100.0,3.281498908996582
62.0,55.0,2.7374401092529297
46.0,235.0,
58.0,240.0,3.7181100845336914
54.0,230.0,2.628309488296509
54.0,235.0,2.6403989791870117
50.0,270.0,2.5524179935455322
42.0,235.0,
50.0,230.0,
