lat,lon,value
58.0,245.0,5.5086304452944335
38.0,235.0,
58.0,95.0,5.608924347752384
54.0,265.0,3.533215590855891
62.0,45.0,5.579697420844281
50.0,290.0,5.231754679019694
50.0,240.0,4.941086239018238
62.0,30.0,5.628516551665144
62.0,60.0,5.359846396417914
62.0,50.0,5.666270311075611
54.0,260.0,5.330631017688422
58.0,100.0,5.749927442052613
62.0,55.0,5.519883094472212
46.0,235.0,
58.0,240.0,5.628364649720484
54.0,230.0,2.5715783104572805
54.0,235.0,4.891670893520797
50.0,270.0,5.023986206670283
42.0,235.0,2.942672155451179
50.0,230.0,
