lat,lon,value
58.0,245.0,1.7526725951994722
38.0,235.0,
58.0,95.0,1.6687847955728385
54.0,265.0,1.3106061053704043
62.0,45.0,1.789407003370076
50.0,290.0,1.728389886082978
50.0,240.0,1.6724046943483637
62.0,30.0,1.8093254399414709
62.0,60.0,1.620363926658197
62.0,50.0,1.6984664638611275
54.0,260.0,1.683353749607359
58.0,100.0,1.6755252099411277
62.0,55.0,1.6408859983105728
46.0,235.0,
58.0,240.0,1.8764143535142677
54.0,230.0,1.0395238572042627
54.0,235.0,1.4917049166484995
50.0,270.0,1.6913142037529103
42.0,235.0,1.8108031623149121
50.0,230.0,
