lat,lon,value
58.0,245.0,4.883179235002745
38.0,235.0,
58.0,95.0,5.058665073362668
54.0,265.0,3.2828268285477984
62.0,45.0,4.93593050641316
50.0,290.0,4.451929736433368
50.0,240.0,4.2646003385480995
62.0,30.0,4.924612077084687
62.0,60.0,4.632084154058513
62.0,50.0,4.840353304054192
54.0,260.0,4.486430231353402
58.0,100.0,5.156371970573155
62.0,55.0,4.782956916266702
46.0,235.0,
58.0,240.0,5.258264774200345
54.0,230.0,1.898369795442505
54.0,235.0,4.009019170111307
50.0,270.0,4.381653407531037
42.0,235.0,2.634615862986568
50.0,230.0,
